datetime_ist,run_type,nifty_spot,india_vix,cash,unrealized_pnl,total_equity,open_positions
2026-07-15 12:20,initial,24114.95,13.46,100000,0,100000,0
2026-07-15 14:05,evening,24075.5,13.75,100000,0,100000,0
2026-07-15 14:25,night-offschedule,24184.95,13.75,100000,0,100000,0
2026-07-16 09:20,morning,24078.50,13.27,100000,0,100000,0
2026-07-16 18:07,evening,24072.75,12.92,100000,0,100000,0
2026-07-16 22:10,night,24072.75,12.88,100000,0,100000,0
2026-07-17 08:55,morning,24066.0,12.88,91151.25,-229.0,99771.0,1
2026-07-17 09:22,monitor-exit,24185.75,13.0225,96439.04,0,96439.04,0
2026-07-17 18:06,evening,24334.3,12.87,96439.04,0,96439.04,0
2026-07-17 22:10,night,24334.3,13.24,96439.04,0,96439.04,0
2026-07-20 13:40,morning,24191.65,13.15,82785.04,-300.25,96138.79,1
2026-07-20 15:21,monitor-exit,24237.45,12.985,94114.29,0,94114.29,0
2026-07-20 18:10,evening,24237.45,12.985,94114.29,0,94114.29,0
2026-07-20 22:10,night,24237.45,13.56,94114.29,0,94114.29,0
2026-07-21 08:45,morning,24200.0,12.9,81809.54,-280.0,93834.29,1
2026-07-21 18:34,evening,24187.7,12.6,93693.54,0,93693.54,0
2026-07-22 08:50,morning,24120.0,12.6,93693.54,0,93693.54,0
2026-07-22 18:27,evening,23996.25,13.29,93693.54,0,93693.54,0
2026-07-22 18:31,night,23996.25,13.29,93693.54,0,93693.54,0
2026-07-23 08:52,morning,23876.35,13.29,82073.54,-270.25,93423.29,1
2026-07-23 15:20,monitor-exit,23867.85,13.415,93581.4,0,93581.4,0
